x,y,z,xc,yc
0.463928,0.955357,6.633583,0.517862,0.471948
4.253081,2.577646,3.279702,0.710288,0.380764
0.416106,-1.466449,6.447657,0.526227,0.57391
7.08796,5.434801,0.09962,0.895093,0.254141
2.628639,2.035898,3.848121,0.63407,0.409576
3.198363,1.985815,3.796952,0.661242,0.413025
3.775151,2.039402,3.646194,0.68888,0.40946
4.465819,2.42295,3.155168,0.725342,0.389131
2.164289,2.189867,3.851822,0.60663,0.403705
3.208229,3.223926,4.115822,0.654766,0.344011
2.673803,3.205337,4.092203,0.629906,0.346076
3.745193,3.165286,3.972409,0.680678,0.347265
4.161018,3.059069,3.719554,0.702097,0.353591
5.062006,1.934418,2.776093,0.752212,0.410805
2.266659,-7.425768,4.389812,0.602918,0.842863
4.445859,2.663991,3.173422,0.719902,0.3756
7.21453,2.263009,0.07315,0.893693,0.39996
5.799793,2.349546,2.204059,0.790082,0.391354
2.844939,-0.720868,4.43313,0.643998,0.534488
0.711452,-3.329355,5.877044,0.528249,0.650404
0.606033,-3.924562,5.444923,0.52585,0.680191
1.431615,-3.500953,5.496189,0.560215,0.657229
1.91491,-3.803146,5.02893,0.585384,0.666541
1.131043,-3.973937,5.189648,0.549626,0.680861
1.563548,-4.082763,4.842263,0.571228,0.682692
2.650112,-5.003649,4.188483,0.624852,0.728099
0.427049,-1.094134,7.360529,0.51305,0.547282
0.496396,-0.475659,7.440358,0.515097,0.527252
5.253307,3.881582,3.363159,0.742247,0.314507
1.718698,0.974609,4.558359,0.598631,0.454979
1.608635,-0.942516,5.814193,0.570338,0.548575
1.651267,-0.610868,5.581319,0.578632,0.533623
4.765501,-0.701554,3.534632,0.723087,0.532054
0.478306,0.295766,7.101013,0.516446,0.499639
3.734964,4.50823,4.550454,0.662801,0.282918
4.588603,4.302037,4.048484,0.703624,0.293271
6.279331,6.615427,1.42585,0.830705,0.193814
1.220941,4.142165,5.106035,0.552386,0.302568
2.193489,3.100317,4.000575,0.60761,0.353888
3.102642,-4.352984,4.095905,0.645429,0.696707
6.719682,-4.788645,-1.745401,0.932695,0.730105
1.193824,-1.306795,5.737747,0.557261,0.572826
0.729766,-1.593712,5.833208,0.542902,0.584792
2.456206,-4.342621,4.283884,0.618026,0.694711
2.204823,-4.304508,4.162499,0.607591,0.694203
4.985894,4.802461,3.751977,0.722943,0.271963
1.592294,-1.257709,5.456949,0.577414,0.563167
2.644548,4.524654,4.921559,0.614083,0.281387
2.760292,5.100971,5.01599,0.616907,0.255886
3.523964,8.005976,3.729163,0.668509,0.119914
5.599763,5.71547,2.724259,0.770092,0.232021
3.063932,6.566144,4.529981,0.635536,0.189249
5.720968,4.254584,2.830852,0.770391,0.299556
6.374393,4.78559,1.591691,0.826722,0.278755
0.672728,-3.688016,5.737804,0.527121,0.666198
1.26256,-3.787691,5.417779,0.553172,0.668527
1.732553,-3.952767,5.000579,0.577238,0.67389
1.043625,-1.464973,5.662455,0.554692,0.580066
2.321234,-4.329069,4.258156,0.611897,0.693961
2.056846,-4.477671,4.520883,0.596961,0.70654
2.153084,-4.276322,4.038093,0.596371,0.693953
0.946874,-1.035249,6.512274,0.539958,0.557139
1.469132,-4.036351,4.604908,0.568842,0.692366
1.02434,-3.989851,4.926693,0.547818,0.692366
0.533422,-3.993222,5.138202,0.524613,0.692366
0.76972,-6.095394,4.985883,0.53409,0.779141
0.699606,-5.29185,5.448304,0.527671,0.736226
0.669687,-4.94977,5.509612,0.526913,0.717857
0.630947,-4.695101,5.449371,0.526878,0.704626
0.583218,-4.517982,5.339869,0.526967,0.695278
1.53717,-4.423206,4.74547,0.572058,0.695278
1.6156,-4.475942,4.813632,0.573521,0.70354
1.729053,-4.61868,4.854463,0.576838,0.711846
1.838624,-4.828746,4.823737,0.581691,0.720063
2.36825,-3.106237,4.868096,0.609945,0.63991
7.542244,-1.049282,-2.431321,0.986046,0.560034
1.826614,-4.399531,4.399021,0.5868,0.6954
1.929558,-4.411831,4.497052,0.590372,0.701823
0.597442,-2.013686,5.866456,0.531915,0.601537
1.405627,-1.714196,5.241087,0.577268,0.585935
0.662449,-1.819321,5.863759,0.536915,0.593786
2.34234,0.572222,4.294303,0.627543,0.473352
3.327324,0.104863,4.11386,0.665586,0.495951
1.726175,-0.919165,5.273355,0.588354,0.546862
5.133204,7.485602,2.660442,0.757824,0.147676
4.538641,6.319907,3.683424,0.70925,0.201508
